273.16 611.66
275 698.45
280 991.82
285 1389
290 1919.9
295 2621.1
300 3536.6
305 4719
310 6230.7
315 8144.5
320 10545
325 13531
330 17212
335 21717
340 27187
345 33783
350 41682
355 51080
360 62194
365 75260
370 90536
375 1.083e+05
380 1.2885e+05
385 1.5252e+05
390 1.7964e+05
395 2.1059e+05
400 2.4575e+05
405 2.8555e+05
410 3.3042e+05
415 3.8082e+05
420 4.3724e+05
425 5.0018e+05
430 5.7018e+05
435 6.4777e+05
440 7.3355e+05
445 8.281e+05
450 9.3204e+05
455 1.046e+06
460 1.1707e+06
465 1.3067e+06
470 1.4548e+06
475 1.6157e+06
480 1.7902e+06
485 1.9789e+06
490 2.1828e+06
495 2.4025e+06
500 2.6389e+06
505 2.8929e+06
510 3.1652e+06
515 3.4569e+06
520 3.7687e+06
525 4.1016e+06
530 4.4567e+06
535 4.8347e+06
540 5.2367e+06
545 5.6639e+06
550 6.1171e+06
555 6.5974e+06
560 7.1061e+06
565 7.6443e+06
570 8.2131e+06
575 8.8138e+06
580 9.4477e+06
585 1.0116e+07
590 1.0821e+07
595 1.1563e+07
600 1.2344e+07
605 1.3167e+07
610 1.4032e+07
615 1.4942e+07
620 1.59e+07
625 1.6908e+07
630 1.7969e+07
635 1.9087e+07
640 2.0266e+07
645 2.1514e+07
647.1 2.2064e+07
